epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27678,3.95806,3.79233,4.33802,0.00216,0.12803,0.00029,4e-05,4.27474,3.71052,4.12043,0.0012,0.0012,0.0892
2,11.674,3.86572,3.46787,4.21888,0.00234,0.13841,0.00033,5e-05,4.18256,3.67163,4.06132,0.00249381,0.00249381,0.0774938
3,16.1691,3.73774,3.21225,4.07311,0.0024,0.14187,0.00036,5e-05,4.11541,3.64694,4.01666,0.00378119,0.00378119,0.0657812
4,20.7223,3.49232,3.02658,3.9468,0.00251,0.14879,0.00038,6e-05,4.08814,3.63098,4.00987,0.00506213,0.00506213,0.0540621
5,26.3354,3.42553,2.92891,3.82726,0.00228,0.13495,0.00032,5e-05,4.09154,3.64011,4.02625,0.00633664,0.00633664,0.0423366
6,30.8172,3.32562,2.83627,3.68504,0.00257,0.15225,0.00051,8e-05,4.1224,3.69022,4.05635,0.00760471,0.00760471,0.0306047
7,35.2502,3.21558,2.80733,3.60819,0.00287,0.16955,0.00074,0.00011,4.10957,3.69268,4.04385,0.00886635,0.00886635,0.0188664
8,41.0367,3.05908,2.76188,3.50273,0.003,0.17647,0.0035,0.00162,4.12107,3.74029,4.05231,0.00982675,0.00982675,0.00982675
9,45.582,2.95945,2.74492,3.38362,0.15162,0.14187,0.07383,0.02103,3.21979,3.62879,3.50216,0.009802,0.009802,0.009802
10,50.1385,2.87206,2.63169,3.28393,0.19984,0.15571,0.10877,0.03304,2.82992,2.74834,3.16321,0.00977725,0.00977725,0.00977725
11,56.3865,2.78433,2.5385,3.16243,0.17445,0.31488,0.12525,0.03742,2.6839,9.07134,3.37952,0.0097525,0.0097525,0.0097525
12,60.9914,2.71926,2.40053,3.05691,0.15917,0.15917,0.06488,0.01838,2.83862,21.7765,4.18595,0.00972775,0.00972775,0.00972775
13,65.0627,2.64651,2.35748,2.97635,0.15843,0.17301,0.08806,0.01935,2.76626,15.6849,3.94533,0.009703,0.009703,0.009703
14,71.1485,2.50931,2.3872,2.88496,0.11204,0.14879,0.04759,0.01168,2.69251,21.7696,3.47556,0.00967825,0.00967825,0.00967825
15,75.5867,2.52378,2.28221,2.84757,0.04016,0.17301,0.02003,0.00427,2.7761,21.7458,3.77869,0.0096535,0.0096535,0.0096535
16,79.9935,2.43587,2.18392,2.79648,0.07608,0.12803,0.02344,0.00523,2.70888,11.9745,3.10892,0.00962875,0.00962875,0.00962875
17,86.2132,2.34908,2.21998,2.7074,0.18257,0.17301,0.08901,0.01991,2.56278,3.02761,3.06303,0.009604,0.009604,0.009604
18,90.5203,2.3552,2.12787,2.68772,0.09483,0.28567,0.0688,0.0216,2.41001,4.60681,2.77822,0.00957925,0.00957925,0.00957925
19,94.7445,2.29635,2.04448,2.63189,0.23852,0.32526,0.16769,0.05847,2.30017,2.84581,2.63649,0.0095545,0.0095545,0.0095545
20,100.797,2.2457,2.09183,2.57969,0.39869,0.22145,0.23435,0.08058,2.45192,2.46992,2.7209,0.00952975,0.00952975,0.00952975
21,105.355,2.18269,1.98055,2.56571,0.35422,0.31142,0.29012,0.12545,2.26134,2.42972,2.56764,0.009505,0.009505,0.009505
22,109.768,2.13345,1.9406,2.48531,0.32192,0.26298,0.21713,0.09791,2.25528,3.63206,2.55259,0.00948025,0.00948025,0.00948025
23,115.751,2.12294,1.94256,2.48564,0.50422,0.29066,0.28756,0.12495,2.2625,4.43541,2.59308,0.0094555,0.0094555,0.0094555
24,120.225,2.07546,1.83416,2.43555,0.47009,0.36528,0.34927,0.15635,2.19408,4.58778,2.58552,0.00943075,0.00943075,0.00943075
25,124.898,2.04948,1.89439,2.40488,0.66139,0.38754,0.43504,0.18113,2.23991,2.65896,2.57187,0.009406,0.009406,0.009406
26,131.305,1.99062,1.75413,2.36978,0.5548,0.45675,0.45219,0.1858,2.29759,2.28117,2.68241,0.00938125,0.00938125,0.00938125
27,135.538,1.96801,1.8086,2.3348,0.52782,0.42547,0.46806,0.21789,2.01168,2.00044,2.36803,0.0093565,0.0093565,0.0093565
28,139.826,1.96117,1.79877,2.32049,0.62927,0.48097,0.53754,0.27089,1.9336,1.87168,2.25556,0.00933175,0.00933175,0.00933175
29,145.602,1.89983,1.70359,2.27707,0.65376,0.44291,0.52482,0.25119,2.03649,1.85213,2.37583,0.009307,0.009307,0.009307
30,150.45,1.84699,1.64878,2.22833,0.72622,0.514,0.60734,0.29593,1.94275,1.75414,2.25807,0.00928225,0.00928225,0.00928225
31,154.744,1.82105,1.61433,2.20992,0.75075,0.48443,0.6103,0.32319,1.85165,1.76381,2.22836,0.0092575,0.0092575,0.0092575
32,160.197,1.8137,1.63394,2.1989,0.64635,0.32526,0.38843,0.18946,2.29894,2.32762,2.55953,0.00923275,0.00923275,0.00923275
33,165.349,1.77369,1.58005,2.15494,0.7414,0.55017,0.63139,0.31732,1.89461,1.68731,2.30049,0.009208,0.009208,0.009208
34,170.09,1.79823,1.59684,2.18452,0.73587,0.53986,0.62553,0.33839,1.80735,1.65324,2.15155,0.00918325,0.00918325,0.00918325
35,174.972,1.74384,1.5713,2.13464,0.5665,0.50519,0.54079,0.25603,1.96249,2.07072,2.29258,0.0091585,0.0091585,0.0091585
36,180.012,1.73772,1.54773,2.10484,0.61815,0.48734,0.52386,0.24916,1.93472,1.87571,2.29927,0.00913375,0.00913375,0.00913375
37,184.195,1.70447,1.49757,2.08752,0.65566,0.44983,0.53623,0.26398,1.92679,1.95743,2.24464,0.009109,0.009109,0.009109
38,189.334,1.69278,1.46859,2.05953,0.76434,0.54992,0.66071,0.343,1.79293,1.65972,2.15233,0.00908425,0.00908425,0.00908425
39,195.129,1.68557,1.49501,2.06423,0.74738,0.46067,0.55008,0.28265,1.96379,1.82976,2.2554,0.0090595,0.0090595,0.0090595
40,199.644,1.61399,1.44688,2.02667,0.77375,0.59167,0.68729,0.38963,1.67309,1.52591,2.02388,0.00903475,0.00903475,0.00903475
41,204.356,1.63387,1.42885,2.01468,0.61307,0.55363,0.56557,0.29258,1.79331,1.71199,2.1441,0.00901,0.00901,0.00901
