epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1217,3.82759,4.84125,0.04958,0.00234,0.13841,0.00034,5e-05,4.50257,6.93334,0.08253,0.0012,0.0012,0.0892
2,29.7287,3.87789,4.62878,0.04912,0.00251,0.14879,0.0004,6e-05,4.47241,6.72394,0.08182,0.00249381,0.00249381,0.0774938
3,35.0018,3.88122,4.57332,0.0485,0.00246,0.14533,0.00037,5e-05,4.45605,6.55529,0.08117,0.00378119,0.00378119,0.0657812
4,42.0151,3.81083,4.42568,0.0462,0.00263,0.15571,0.0005,6e-05,4.44727,6.4042,0.0808,0.00506213,0.00506213,0.0540621
5,47.7442,3.7638,4.40782,0.04782,0.00269,0.15917,0.0007,9e-05,4.4377,6.29668,0.08054,0.00633664,0.00633664,0.0423366
6,53.3939,3.78811,4.34493,0.04871,0.00275,0.16263,0.00089,0.00012,4.41771,6.09991,0.07997,0.00760471,0.00760471,0.0306047
7,59.9563,3.7193,4.28345,0.04705,0.00269,0.15917,0.00111,0.00015,4.40644,6.00942,0.07979,0.00886635,0.00886635,0.0188664
8,65.3348,3.65195,4.17884,0.04625,0.0038,0.22491,0.01157,0.00237,4.13088,5.56891,0.07272,0.00982675,0.00982675,0.00982675
9,72.4011,3.58195,4.03004,0.04449,0.06126,0.09689,0.01347,0.00235,3.52334,4.73884,0.05764,0.009802,0.009802,0.009802
10,77.6049,3.39357,3.83605,0.04152,0.00192,0.01384,0.00019,3e-05,4.11526,28.9165,0.08102,0.00977725,0.00977725,0.00977725
11,82.8978,3.3494,3.66311,0.03967,0.00043,0.02422,3e-05,0,4.88927,17.8118,0.07184,0.0097525,0.0097525,0.0097525
12,89.9132,3.15369,3.52905,0.03646,0.00374,0.22145,0.00094,0.00016,3.8783,31.135,0.06719,0.00972775,0.00972775,0.00972775
13,95.3213,2.98863,3.35714,0.0336,0.03412,0.14879,0.01113,0.00207,3.52121,9.62842,0.05789,0.009703,0.009703,0.009703
14,102.113,2.83052,3.27576,0.03169,0.03544,0.13495,0.01463,0.00299,3.35525,9.11093,0.05677,0.00967825,0.00967825,0.00967825
15,107.48,2.77421,3.16808,0.0299,0.12937,0.13495,0.06192,0.01194,3.13424,4.56756,0.0511,0.0096535,0.0096535,0.0096535
16,112.673,2.65578,3.04,0.02712,0.01591,0.11073,0.00464,0.00097,3.39957,16.8782,0.0636,0.00962875,0.00962875,0.00962875
17,119.635,2.59145,3.01981,0.02788,0.05888,0.15917,0.02615,0.0053,2.98185,5.26482,0.04986,0.009604,0.009604,0.009604
18,124.793,2.49412,2.90747,0.02601,0.0229,0.09689,0.00814,0.00173,3.15997,9.28025,0.0537,0.00957925,0.00957925,0.00957925
19,131.495,2.45322,2.85036,0.0252,0.04157,0.17301,0.0166,0.00389,2.72366,11.3371,0.04289,0.0095545,0.0095545,0.0095545
20,137.174,2.40732,2.84266,0.02459,0.03116,0.11765,0.01218,0.00299,2.73618,7.1388,0.0426,0.00952975,0.00952975,0.00952975
21,142.415,2.34783,2.75186,0.02327,0.06191,0.17993,0.03276,0.00736,2.72703,6.66865,0.04358,0.009505,0.009505,0.009505
22,149.629,2.30459,2.70835,0.02293,0.07524,0.21453,0.04343,0.00988,2.60047,6.59126,0.04107,0.00948025,0.00948025,0.00948025
23,154.873,2.31894,2.70296,0.02291,0.21103,0.2872,0.13953,0.04087,2.38216,3.71726,0.03382,0.0094555,0.0094555,0.0094555
24,161.474,2.20517,2.62703,0.02159,0.25472,0.2526,0.16838,0.05781,2.28114,3.33848,0.03284,0.00943075,0.00943075,0.00943075
25,167.061,2.22928,2.61541,0.02245,0.26978,0.30104,0.19343,0.07927,2.01982,2.97016,0.02674,0.009406,0.009406,0.009406
26,172.246,2.16723,2.5484,0.02148,0.30033,0.32526,0.24113,0.09335,2.02876,3.00858,0.02854,0.00938125,0.00938125,0.00938125
27,179.354,2.12173,2.5138,0.02108,0.29174,0.31142,0.20436,0.08214,2.05753,2.85343,0.02724,0.0093565,0.0093565,0.0093565
28,184.559,2.11701,2.46992,0.02188,0.26078,0.24913,0.17799,0.05125,2.38511,3.16419,0.03524,0.00933175,0.00933175,0.00933175
29,190.542,2.06604,2.43076,0.02067,0.2534,0.36641,0.18067,0.07314,2.02974,3.32369,0.02759,0.009307,0.009307,0.009307
30,196.81,2.04274,2.36993,0.01928,0.27415,0.30796,0.21464,0.08229,2.02177,2.80962,0.02749,0.00928225,0.00928225,0.00928225
31,201.891,2.02372,2.35698,0.01922,0.23014,0.23894,0.14711,0.05521,2.20816,3.77838,0.02795,0.0092575,0.0092575,0.0092575
32,209.324,2.06014,2.35065,0.01969,0.29471,0.2872,0.22669,0.10647,1.97027,3.12499,0.02463,0.00923275,0.00923275,0.00923275
33,214.58,1.94628,2.26019,0.01887,0.31131,0.37539,0.28061,0.12093,1.92244,2.99115,0.02448,0.009208,0.009208,0.009208
34,220.282,1.974,2.32205,0.01958,0.40434,0.30769,0.29928,0.14354,1.93313,2.48217,0.02564,0.00918325,0.00918325,0.00918325
35,226.742,1.94294,2.25404,0.01864,0.4301,0.34948,0.35336,0.16297,1.87441,2.34088,0.02391,0.0091585,0.0091585,0.0091585
36,231.909,1.9377,2.24499,0.01859,0.45767,0.37716,0.38054,0.17446,1.90688,2.49186,0.02377,0.00913375,0.00913375,0.00913375
37,238.967,1.89077,2.18349,0.01699,0.4425,0.38062,0.34963,0.13749,2.09217,2.41926,0.0305,0.009109,0.009109,0.009109
38,244.373,1.90235,2.1296,0.01781,0.46841,0.43253,0.39108,0.18193,1.8185,2.26996,0.02268,0.00908425,0.00908425,0.00908425
39,250.007,1.90808,2.17995,0.01834,0.43873,0.43945,0.35693,0.16536,1.9566,2.30361,0.02469,0.0090595,0.0090595,0.0090595
40,256.748,1.88538,2.12892,0.01843,0.51484,0.40138,0.38977,0.19137,1.78171,2.29239,0.02328,0.00903475,0.00903475,0.00903475
41,261.947,1.8571,2.1094,0.01773,0.51131,0.41176,0.4164,0.20778,1.82661,2.20056,0.02391,0.00901,0.00901,0.00901
42,268.858,1.86818,2.12239,0.01724,0.47087,0.37716,0.36562,0.17776,1.85565,2.40767,0.02559,0.00898525,0.00898525,0.00898525
43,274.248,1.80745,2.07847,0.01675,0.54139,0.44983,0.4364,0.21418,1.80636,2.10644,0.02241,0.0089605,0.0089605,0.0089605
44,279.551,1.83759,2.05015,0.01722,0.50568,0.34602,0.37666,0.18578,1.92005,2.48599,0.0236,0.00893575,0.00893575,0.00893575
45,286.55,1.79121,2.00874,0.01635,0.55335,0.43253,0.46155,0.22952,1.8769,2.04537,0.02392,0.008911,0.008911,0.008911
46,291.831,1.79164,1.98487,0.01654,0.58725,0.43324,0.46004,0.22956,1.85881,2.0935,0.02519,0.00888625,0.00888625,0.00888625
47,298.539,1.80869,2.03278,0.01715,0.56907,0.44323,0.47996,0.25654,1.77062,1.95471,0.02223,0.0088615,0.0088615,0.0088615
48,304.379,1.75553,1.9506,0.01605,0.58255,0.47805,0.51743,0.2611,1.78486,1.98222,0.02175,0.00883675,0.00883675,0.00883675
